"T1-P"	"T1-repP"	"T1-T"	"T1-repT"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
23	24	3	3	21	17	13	22	2	8	3	23	10	19	20	11	4	16	18	15	14	12	9	24	7	1	6	5
4	20.000000000001	14	13	21	14	7	24	23	20	16	17	12	8	15	13	5	2	18	10	11	9	4	19	6	1	22	3
2	12	18	2	5	13	8	24	10	7	17	6	20	1	18	12	21	23	9	4	22	16	15	11	14	19	2	3
5	9	21	20	8	5	24	18	17	13	21	7	4	22	19	16	15	9	1	10	23	3	14	11	12	6	2	20
1	20.000000000001	20	22	1	10	9	18	4	2	21	16	11	6	12	20	15	19	24	22	23	7	5	13	8	14	3	17
13	12	7	10	5	21	24	10	18	2	9	11	14	16	6	13	19	23	17	1	12	15	20	3	8	4	22	7
20	20.000000000001	13	15	13	4	12	1	3	22	10	6	24	16	17	21	2	19	5	18	23	20	14	9	15	8	7	11
8	1.00000000000107	24	1	19	21	12	5	8	24	2	15	17	1	22	10	7	20	13	14	9	11	18	23	16	4	3	6
19	14.000000000001	4	6	11	5	10	6	2	9	1	18	19	23	15	22	4	8	13	7	24	16	21	14	12	17	20	3
15	16.9999999999989	1	3	14	18	17	16	10	15	5	12	1	24	21	4	22	13	20	2	3	9	6	7	23	11	19	8
19	14.000000000001	16	6	23	7	4	16	2	8	24	20	13	1	15	6	5	9	12	21	10	17	22	11	19	14	3	18
7	12	17	22	5	22	17	10	13	14	12	19	6	18	15	11	24	4	9	3	21	8	1	2	20	7	16	23
4	13.0000000000011	10	8	14	17	6	5	15	22	11	23	10	19	9	20	16	7	4	2	1	24	21	3	13	18	8	12
24	24	16	7	13	17	18	2	8	12	9	4	20	6	10	23	5	15	14	11	19	3	7	22	24	16	1	21
9	4.99999999999893	3	13	10	24	13	15	17	16	5	9	14	20	12	22	7	3	18	2	19	4	1	8	21	11	23	6
24	13.0000000000011	21	19	15	24	18	22	13	4	17	9	23	21	12	20	6	2	1	19	11	14	8	5	3	10	7	16
4	15.999999999999	23	13	14	23	7	4	1	19	15	11	6	9	18	5	2	8	3	17	22	13	12	16	10	24	21	20
13	20.000000000001	7	19	12	24	15	1	17	14	23	11	19	16	7	13	20	5	10	6	22	21	3	2	4	18	8	9
9	1.00000000000107	18	4	13	6	5	14	2	8	18	22	24	19	12	15	17	23	21	20	7	16	3	4	10	1	9	11
10	8.000000000001	8	21	5	7	18	11	19	4	14	17	13	12	20	22	10	6	1	9	2	16	21	8	3	24	23	15
23	15.999999999999	13	18	8	7	9	14	10	5	19	6	11	17	16	24	4	15	1	22	12	23	21	2	3	18	13	20
5	13.0000000000011	9	13	4	14	24	7	2	8	6	22	10	20	21	18	9	5	17	1	11	16	15	23	3	19	12	13
9	8.000000000001	15	14	19	16	2	13	24	11	18	21	20	22	12	14	15	17	23	1	4	5	7	9	8	3	6	10
11	24	1	8	7	8	19	1	13	11	17	10	24	12	20	15	23	22	4	18	6	16	21	3	14	9	5	2
10	12	4	3	24	23	20	3	5	11	8	17	10	7	6	22	12	18	13	14	4	1	2	9	15	16	19	21
12	13.0000000000011	17	18	8	17	19	1	3	7	13	9	21	15	18	24	22	20	4	10	14	6	11	2	5	12	16	23
5	24	20	17	5	7	24	12	11	14	21	10	15	6	17	8	9	3	22	16	13	19	20	18	1	23	4	2
5	13.0000000000011	11	4	3	11	24	6	12	14	20	21	16	23	7	2	10	4	22	5	9	15	19	18	17	13	8	1
14	9.999999999999	2	4	8	6	12	17	5	15	14	22	19	13	4	9	2	24	3	7	23	18	21	11	20	16	1	10
20	9.999999999999	12	10	24	15	17	4	6	7	11	14	2	3	12	5	13	8	19	22	20	1	18	10	21	23	16	9
6	4.99999999999893	5	24	15	19	9	12	4	17	13	23	7	6	5	18	10	20	22	16	11	24	21	2	8	3	14	1
2	13.0000000000011	22	23	4	8	2	16	17	13	3	9	22	19	21	1	5	24	23	15	12	18	14	10	6	11	7	20
19	19.0000000000011	19	1	2	1	22	4	6	10	3	20	18	7	12	14	23	21	9	11	17	8	24	13	15	16	5	19
6	12	24	3	8	7	18	3	6	24	20	17	15	5	21	4	11	9	13	19	1	10	22	2	16	23	14	12
11	3.999999999999	14	16	4	15	23	20	16	2	21	10	7	5	8	24	17	22	13	18	14	6	11	12	3	9	19	1
12	1.00000000000107	6	12	20	22	23	8	14	4	13	7	19	1	12	18	2	11	21	5	24	6	17	3	16	9	15	10
6	18	5	6	14	17	13	4	24	15	9	3	2	6	11	21	22	12	23	7	8	16	20	1	19	18	5	10
5	24	9	8	3	12	10	7	1	2	15	17	14	8	6	9	23	5	11	22	4	24	19	13	21	20	18	16
10	18	23	15	5	6	9	10	15	12	2	3	19	13	7	21	18	4	23	24	1	14	22	11	8	17	20	16
14	2.000000000001	1	3	7	20	10	17	9	14	4	1	16	2	8	3	24	18	5	11	19	6	13	12	15	22	21	23
18	13.0000000000011	8	3	1	13	24	8	12	9	5	16	6	17	20	15	18	23	22	10	7	19	2	3	11	14	4	21
18	13.0000000000011	15	8	7	8	3	21	11	13	20	5	12	4	6	23	16	14	22	9	10	19	24	18	17	15	1	2
9	9.999999999999	4	9	16	14	17	3	13	21	15	4	9	5	18	10	22	19	2	6	8	23	12	7	1	11	20	24
6	16.9999999999989	2	5	14	16	24	3	2	8	6	4	13	12	19	22	5	10	7	20	9	21	15	1	23	11	18	17
